year,pid,age,sex,marstat,educ,inctot,k6sum,outcome,label_outcome,label_sex,label_education
2021,102,37,2,10,503,142700,1,0,No,Female,"Doctoral degree (PhD, EdD)"
2021,101,39,1,10,201,68000,0,0,No,Male,High school graduate
2021,102,39,2,10,201,12749,1,0,No,Female,High school graduate
2021,102,26,1,50,201,14000,0,0,No,Male,High school graduate
2021,101,55,2,40,201,89413,7,0,No,Female,High school graduate
2021,102,25,2,50,301,62000,0,0,No,Female,"Some college, no degree"
2021,103,45,1,50,113,20157,0,0,No,Male,Grade 9
2021,104,32,1,40,111,18386,4,0,No,Male,Grade 8
2021,101,78,1,10,202,31615,4,0,No,Male,GED or equivalent
2021,102,48,2,10,400,49550,2,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,66,1,10,504,19500,3,0,No,Male,Other degree
2021,102,68,2,10,504,60442,0,0,No,Female,Other degree
2021,101,61,1,20,202,40000,1,0,No,Male,GED or equivalent
2021,101,56,2,10,400,12600,0,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,52,1,40,201,62400,24,1,Yes,Male,High school graduate
2021,101,78,1,10,400,100265,0,0,No,Male,"Bachelor's degree (BA,AB,BS,BBA)"
2021,102,81,2,10,201,98044,4,0,No,Female,High school graduate
2021,101,50,1,10,201,60000,0,0,No,Male,High school graduate
2021,102,42,2,10,201,48000,0,0,No,Female,High school graduate
2021,103,24,2,50,201,25000,0,0,No,Female,High school graduate
2021,104,21,1,50,114,43000,4,0,No,Male,Grade 10
2021,101,75,2,30,202,25800,0,0,No,Female,GED or equivalent
2021,101,50,1,10,201,60000,4,0,No,Male,High school graduate
2021,101,58,1,30,400,37000,0,0,No,Male,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,77,1,10,201,30000,0,0,No,Male,High school graduate
2021,101,82,1,50,504,105163,2,0,No,Male,Other degree
2021,101,79,1,10,400,68894,1,0,No,Male,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,72,1,50,301,19000,0,0,No,Male,"Some college, no degree"
2021,101,42,2,30,201,14000,0,0,No,Female,High school graduate
2021,104,22,2,50,201,7125,0,0,No,Female,High school graduate
2021,101,30,1,50,400,125000,3,0,No,Male,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,42,2,30,501,94835,1,0,No,Female,"Master's degree (MA,MS,Med,MBA)"
2021,101,54,1,30,504,4764,6,0,No,Male,Other degree
2021,102,63,2,30,202,9756,13,1,Yes,Female,GED or equivalent
2021,101,64,2,20,400,8000,9,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,103,39,2,50,301,23000,4,0,No,Female,"Some college, no degree"
2021,101,74,1,10,400,41373,9,0,No,Male,"Bachelor's degree (BA,AB,BS,BBA)"
2021,102,71,2,10,400,47302,0,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,70,1,30,202,14280,9,0,No,Male,GED or equivalent
2021,101,70,2,30,400,11400,0,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,85,1,20,201,66882,1,0,No,Male,High school graduate
2021,101,32,2,10,503,16500,0,0,No,Female,"Doctoral degree (PhD, EdD)"
2021,102,30,1,10,301,21000,0,0,No,Male,"Some college, no degree"
2021,101,57,1,30,504,60152,9,0,No,Male,Other degree
2021,102,22,2,50,201,4000,2,0,No,Female,High school graduate
2021,104,50,1,30,504,35000,4,0,No,Male,Other degree
2021,101,51,1,10,301,72000,0,0,No,Male,"Some college, no degree"
2021,101,85,2,20,301,38653,0,0,No,Female,"Some college, no degree"
2021,103,28,1,10,400,48000,2,0,No,Male,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,77,2,20,504,83295,0,0,No,Female,Other degree
2021,101,75,2,10,501,268056,4,0,No,Female,"Master's degree (MA,MS,Med,MBA)"
2021,102,78,1,10,501,90548,0,0,No,Male,"Master's degree (MA,MS,Med,MBA)"
